tconst,nconst
tt0086250,nm0000201
tt0086250,nm0000361
tt0086250,nm0000719
tt0086250,nm0000874
tt0086250,nm0001512
tt0086250,nm0005162
tt0086250,nm0106840
tt0086250,nm0173125
tt0086250,nm0757774
tt0086250,nm0791502
tt0086250,nm0950867
tt0086420,nm0025857
tt0086420,nm0344641
tt0086420,nm0814718
tt0086420,nm0001945
tt0086420,nm0173354
tt0086420,nm0529645
tt0086420,nm0954786
tt0086423,nm0000289
tt0086423,nm0000380
tt0086423,nm0000915
tt0086423,nm0000990
tt0086423,nm0002128
tt0086423,nm0000979
tt0086423,nm0322339
tt0086423,nm0387666
tt0086423,nm0902188
tt0086425,nm0000197
tt0086425,nm0000362
tt0086425,nm0000511
tt0086425,nm0000700
tt0086425,nm0001099
tt0086425,nm0001475
tt0086425,nm0003609
tt0086425,nm0289030
tt0086465,nm0000101
tt0086465,nm0000484
tt0086465,nm0000552
tt0086465,nm0000747
tt0086465,nm0000897
tt0086465,nm0001186
tt0086465,nm0751567
tt0086465,nm0940705
tt0086567,nm0000111
tt0086567,nm0000639
tt0086567,nm0000824
tt0086567,nm0179224
tt0086567,nm0234154
tt0086567,nm0582778
tt0086567,nm5911607
tt0086567,nm0001056
tt0086567,nm0165536
tt0086567,nm0513731
tt0086567,nm0773837
tt0086567,nm0939795
tt0086879,nm0000470
tt0086879,nm0000719
tt0086879,nm0000931
tt0086879,nm0001003
tt0086879,nm0001371
tt0086879,nm0002056
tt0086879,nm0001232
tt0086879,nm0048652
tt0086879,nm0234541
tt0086879,nm0443016
tt0086879,nm0573299
tt0086904,nm0011665
tt0086904,nm0018423
tt0086904,nm0000144
tt0086904,nm0000147
tt0086904,nm0000391
tt0086904,nm0060799
tt0086904,nm0421044
tt0086904,nm0437709
tt0086979,nm0000445
tt0086979,nm0000531
tt0086979,nm0001053
tt0086979,nm0001054
tt0086979,nm0315288
tt0086979,nm0001826
tt0086979,nm0931638
tt0086993,nm0000154
tt0086993,nm0000164
tt0086993,nm0000358
tt0086993,nm0000553
tt0086993,nm0002044
tt0086993,nm0002081
tt0086993,nm0205289
tt0086993,nm0000059
tt0086993,nm0384060
tt0086993,nm0433922
tt0086993,nm0930089
tt0087332,nm0000601
tt0087332,nm0546868
tt0087332,nm0718645
tt0087332,nm0000101
tt0087332,nm0000195
tt0087332,nm0000244
tt0087332,nm0001368
tt0087332,nm0001548
tt0087332,nm0001633
tt0087363,nm0000121
tt0087363,nm0001102
tt0087363,nm0002090
tt0087363,nm0521829
tt0087363,nm0001924
tt0087363,nm0103722
tt0087363,nm0525601
tt0087363,nm0824527
tt0087469,nm0000148
tt0087469,nm0000229
tt0087469,nm0001009
tt0087469,nm0702841
tt0087469,nm0786022
tt0087469,nm0948118
tt0087469,nm0949521
tt0087469,nm0152054
tt0087469,nm0700869
tt0087469,nm0832104
tt0087469,nm0915226
tt0087538,nm0000814
tt0087538,nm0001552
tt0087538,nm0005545
tt0087538,nm0308459
tt0087538,nm0574337
tt0087538,nm0000223
tt0087538,nm0001494
tt0087538,nm0184392
tt0087538,nm0217251
tt0087538,nm0375374
tt0087538,nm0859462
tt0087800,nm0000136
tt0087800,nm0000387
tt0087800,nm0000486
tt0087800,nm0005417
tt0087800,nm0006987
tt0087800,nm0086867
tt0087800,nm0281486
tt0087800,nm0790144
tt0087800,nm0924178
tt0087800,nm0000127
tt0087800,nm0768334
tt0087843,nm0000134
tt0087843,nm0000249
tt0087843,nm0000582
tt0087843,nm0001235
tt0087843,nm0001527
tt0087843,nm0001839
tt0087843,nm0586969
tt0087843,nm0000732
tt0087843,nm0001466
tt0087843,nm0001852
tt0087843,nm0370747
tt0087843,nm0949350
tt0087921,nm0000398
tt0087921,nm0000418
tt0087921,nm0000438
tt0087921,nm0000518
tt0087921,nm0001080
tt0087921,nm0001496
tt0087921,nm0369001
tt0087921,nm0416521
tt0087921,nm0642368
tt0087921,nm0000914
tt0087921,nm0809031
tt0088247,nm0000116
tt0088247,nm0000157
tt0088247,nm0000216
tt0088247,nm0000299
tt0088247,nm0000448
tt0088247,nm0001685
tt0088247,nm0609477
tt0088247,nm0770974
tt0088247,nm0091286
tt0088247,nm0588241
tt0088247,nm0934902
tt0088763,nm0000150
tt0088763,nm0000502
tt0088763,nm0000670
tt0088763,nm0000709
tt0088763,nm0001855
tt0088763,nm0301826
tt0088763,nm0564589
tt0088763,nm0566013
tt0088763,nm0920148
tt0088763,nm0225191
tt0088763,nm0818274
tt0088846,nm0000134
tt0088846,nm0000416
tt0088846,nm0000596
tt0088846,nm0000980
tt0088846,nm0001589
tt0088846,nm0002114
tt0088846,nm0586969
tt0088846,nm0000453
tt0088846,nm0001340
tt0088846,nm0001364
tt0088846,nm0007183
tt0088846,nm0891092
tt0088847,nm0000455
tt0088847,nm0212939
tt0088847,nm0322339
tt0088847,nm0000208
tt0088847,nm0000389
tt0088847,nm0000555
tt0088847,nm0000639
tt0088847,nm0001309
tt0088847,nm0160053
tt0089218,nm0000276
tt0089218,nm0000588
tt0089218,nm0000982
tt0089218,nm0001108
tt0089218,nm0001592
tt0089218,nm0169480
tt0089218,nm0338061
tt0089218,nm0702841
tt0089218,nm0001149
tt0089218,nm0076748
tt0089218,nm0560596
tt0089560,nm0000333
tt0089560,nm0000368
tt0089560,nm0000385
tt0089560,nm0598413
tt0089560,nm0000953
tt0089560,nm0001013
tt0089560,nm0001268
tt0089560,nm0122036
tt0089560,nm0246004
tt0089560,nm0580526
tt0089560,nm0823097
tt0089755,nm0000602
tt0089755,nm0001284
tt0089755,nm0001628
tt0089755,nm0100942
tt0089755,nm0447499
tt0089755,nm0000658
tt0089755,nm0001970
tt0089755,nm0358180
tt0089755,nm0457655
tt0089941,nm0120483
tt0089941,nm0324875
tt0089941,nm0573299
tt0089941,nm0752636
tt0089941,nm0943593
tt0089941,nm0000360
tt0089941,nm0000616
tt0089941,nm0000685
tt0089941,nm0141953
tt0089941,nm0464846
tt0090022,nm0000092
tt0090022,nm0000126
tt0090022,nm0000177
tt0090022,nm0000418
tt0090022,nm0001277
tt0090022,nm0001410
tt0090022,nm0021112
tt0090022,nm0440459
tt0090022,nm0500894
tt0090022,nm0941125
tt0090329,nm0000148
tt0090329,nm0000418
